A0,A2,A5
35709,交通行政许可申请许可决定书,交通运输局
35710,交通行政许可申请许可决定书,交通运输局
35240,船舶检验证书,交通运输局
35909,城市建筑垃圾和工程渣土处置许可,城市管理局
35911,城市建筑垃圾和工程渣土处置许可,城市管理局
35771,关于睢宁县自来水公司道路挖掘的批复,城市管理局
35242,船舶检验证书,交通运输局
35241,船舶检验证书,交通运输局
35915,无行政许可决定文书,经济技术开发区行政审批局
35916,无行政许可决定文书,经济技术开发区行政审批局
35917,交通行政许可申请许可决定书,交通运输局
35912,城市建筑垃圾和工程渣土处置许可,城市管理局
35913,城市建筑垃圾和工程渣土处置许可,城市管理局
35914,城市建筑垃圾和工程渣土处置许可,城市管理局
35753,交通行政许可申请许可决定书,交通运输局
35754,交通行政许可申请许可决定书,口岸办
35756,关于扬州市江都区针织总厂安置区项目水土保持方案的行政许可决定,水务局
35750,交通行政许可申请许可决定书,交通运输局
35751,交通行政许可申请许可决定书,交通运输局
35752,交通行政许可申请许可决定书,交通运输局
35761,建设用地规划许可证,自然资源和规划局
35762,建设用地规划许可证,自然资源和规划局
35245,交通行政许可申请许可决定书,港口局
35248,交通行政许可申请许可决定书,交通运输局
35247,交通行政许可申请许可决定书,交通运输局
35246,交通行政许可申请许可决定书,港口局
36707,交通行政许可申请许可决定书,市交通运输局
37193,建筑业企业资质的核准,住房和城乡建设厅
37891,医疗器械生产许可证,药品监督管理局
37191,建筑业企业资质的核准,住房和城乡建设厅
37192,建筑业企业资质的核准,住房和城乡建设厅
37194,建筑业企业资质的核准,住房和城乡建设厅
37195,建筑业企业资质的核准,住房和城乡建设厅
33482,建筑业企业资质的核准,住房和城乡建设厅
37890,医疗器械注册证,药品监督管理局
37889,医疗器械生产许可证,药品监督管理局
37190,建筑业企业资质的核准,住房和城乡建设厅
34408,建筑业企业资质的核准,住房和城乡建设厅
34407,建筑业企业资质的核准,住房和城乡建设厅
37182,准予行政许可决定书,行政审批局
37183,苏州市吴中区行政审批局准予行政许可决定书,行政审批局
37186,行政许可决定书,湖塘镇人民政府
34312,食品经营许可,市场监督管理局
34311,农作物种子生产经营许可证,农业农村局
37893,医疗器械生产许可证,药品监督管理局
37892,医疗器械生产许可证,药品监督管理局
37765,行政许可决定书,城市管理局
34102,准予行政许可决定书,行政审批局
34097,建筑业企业资质的核准,住房和城乡建设厅
37751,交通行政许可申请许可决定书,港口局
37750,交通行政许可申请许可决定书,交通运输局
34096,建筑业企业资质的核准,住房和城乡建设厅
33998,商品房预售许可,住房保障和房产局
33492,准予行政许可决定书,市政和园林局
34095,建筑业企业资质的核准,住房和城乡建设厅
34094,建筑业企业资质的核准,住房和城乡建设厅
34205,准予行政许可决定书,行政审批局
