A0,A2,A4,A5
35709,交通行政许可申请许可决定书,"张家港保税港区港务有限公司:你(单位)于2021-07-21 09:47:58向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局
35710,交通行政许可申请许可决定书,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:23:59向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 00:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局
35240,船舶检验证书,船舶法定检验,盐城市交通运输局
35909,城市建筑垃圾和工程渣土处置许可,工程渣土,泰州市城市管理局
35911,城市建筑垃圾和工程渣土处置许可,工程渣土,泰州市城市管理局
35771,关于睢宁县自来水公司道路挖掘的批复,中山北路水岸华府楼下,睢宁县城市管理局
35242,船舶检验证书,船舶法定检验,盐城市交通运输局
35241,船舶检验证书,船舶法定检验,盐城市交通运输局
35915,无行政许可决定文书,场（厂）内专用机动车辆,宿迁经济技术开发区行政审批局
35916,无行政许可决定文书,场（厂）内专用机动车辆,宿迁经济技术开发区行政审批局
35917,交通行政许可申请许可决定书,"南京港龙潭集装箱有限公司:你(单位)于2021-07-21 09:06:48向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:00:00至2021-07-23 19:00:00时间内作业。",南京市交通运输局
35912,城市建筑垃圾和工程渣土处置许可,工程渣土,泰州市城市管理局
35913,城市建筑垃圾和工程渣土处置许可,工程渣土,泰州市城市管理局
