full_name,short_name
江苏省,江苏
南京市,南京
玄武区,玄武
秦淮区,秦淮
建邺区,建邺
鼓楼区,鼓楼
浦口区,浦口
栖霞区,栖霞
雨花台区,雨花台
江宁区,江宁
六合区,六合
溧水区,溧水
高淳区,高淳
无锡市,无锡
梁溪区,梁溪
南长区,南长
北塘区,北塘
锡山区,锡山
惠山区,惠山
滨湖区,滨湖
江阴市,江阴
宜兴市,宜兴
徐州市,徐州
鼓楼区,鼓楼
云龙区,云龙
贾汪区,贾汪
泉山区,泉山
铜山区,铜山
丰县,丰
沛县,沛
睢宁县,睢宁
新沂市,新沂
邳州市,邳州
常州市,常州
天宁区,天宁
钟楼区,钟楼
戚墅堰区,戚墅堰
新北区,新北
武进区,武进
溧阳市,溧阳
金坛区,金坛
苏州市,苏州
虎丘区,虎丘
吴中区,吴中
相城区,相城
姑苏区,姑苏
吴江区,吴江
常熟市,常熟
张家港市,张家港
昆山市,昆山
太仓市,太仓
南通市,南通
崇川区,崇川
通州区,通州
海安市,海安
如东县,如东
启东市,启东
如皋市,如皋
海门区,海门
连云港市,连云港
连云区,连云
海州区,海州
赣榆区,赣榆
东海县,东海
灌云县,灌云
灌南县,灌南
淮安市,淮安
清江浦区,清江浦
淮安区,淮安
淮阴区,淮阴
涟水县,涟水
洪泽区,洪泽
盱眙县,盱眙
金湖县,金湖
盐城市,盐城
亭湖区,亭湖
盐都区,盐都
响水县,响水
滨海县,滨海
阜宁县,阜宁
射阳县,射阳
建湖县,建湖
东台市,东台
大丰区,大丰
扬州市,扬州
广陵区,广陵
邗江区,邗江
江都区,江都
宝应县,宝应
仪征市,仪征
高邮市,高邮
镇江市,镇江
京口区,京口
润州区,润州
丹徒区,丹徒
丹阳市,丹阳
扬中市,扬中
句容市,句容
泰州市,泰州
海陵区,海陵
高港区,高港
姜堰区,姜堰
兴化市,兴化
靖江市,靖江
泰兴市,泰兴
宿迁市,宿迁
宿城区,宿城
宿豫区,宿豫
沭阳县,沭阳
泗阳县,泗阳
泗洪县,泗洪
新吴区,新吴
经济技术开发区,经济技术开发A省,A省
A市,A市
A县,A县
A区,A区
A镇,A镇
A乡,A乡
A街道,A街道
A村,A
B省,B省
B市,B市
B县,B县
B区,B区
B镇,B镇
B乡,B乡
B街道,B街道
B村,B
C省,C省
C市,C市
C县,C县
C区,C区
C镇,C镇
C乡,C乡
C街道,C街道
C村,C
D省,D省
D市,D市
D县,D县
D区,D区
D镇,D镇
D乡,D乡
D街道,D街道
D村,D
E省,E省
E市,E市
E县,E县
E区,E区
E镇,E镇
E乡,E乡
E街道,E街道
E村,E
F省,F省
F市,F市
F县,F县
F区,F区
F镇,F镇
F乡,F乡
F街道,F街道
F村,F
G省,G省
G市,G市
G县,G县
G区,G区
G镇,G镇
G乡,G乡
G街道,G街道
G村,G
H省,H省
H市,H市
H县,H县
H区,H区
H镇,H镇
H乡,H乡
H街道,H街道
H村,H
I省,I省
I市,I市
I县,I县
I区,I区
I镇,I镇
I乡,I乡
I街道,I街道
I村,I
J省,J省
J市,J市
J县,J县
J区,J区
J镇,J镇
J乡,J乡
J街道,J街道
J村,J
K省,K省
K市,K市
K县,K县
K区,K区
K镇,K镇
K乡,K乡
K街道,K街道
K村,K
L省,L省
L市,L市
L县,L县
L区,L区
L镇,L镇
L乡,L乡
L街道,L街道
L村,L
M省,M省
M市,M市
M县,M县
M区,M区
M镇,M镇
M乡,M乡
M街道,M街道
M村,M
N省,N省
N市,N市
N县,N县
N区,N区
N镇,N镇
N乡,N乡
N街道,N街道
N村,N
O省,O省
O市,O市
O县,O县
O区,O区
O镇,O镇
O乡,O乡
O街道,O街道
O村,O
P省,P省
P市,P市
P县,P县
P区,P区
P镇,P镇
P乡,P乡
P街道,P街道
P村,P
Q省,Q省
Q市,Q市
Q县,Q县
Q区,Q区
Q镇,Q镇
Q乡,Q乡
Q街道,Q街道
Q村,Q
R省,R省
R市,R市
R县,R县
R区,R区
R镇,R镇
R乡,R乡
R街道,R街道
R村,R
S省,S省
S市,S市
S县,S县
S区,S区
S镇,S镇
S乡,S乡
S街道,S街道
S村,S
T省,T省
T市,T市
T县,T县
T区,T区
T镇,T镇
T乡,T乡
T街道,T街道
T村,T
U省,U省
U市,U市
U县,U县
U区,U区
U镇,U镇
U乡,U乡
U街道,U街道
U村,U
V省,V省
V市,V市
V县,V县
V区,V区
V镇,V镇
V乡,V乡
V街道,V街道
V村,V
W省,W省
W市,W市
W县,W县
W区,W区
W镇,W镇
W乡,W乡
W街道,W街道
W村,W
X省,X省
X市,X市
X县,X县
X区,X区
X镇,X镇
X乡,X乡
X街道,X街道
X村,X
Y省,Y省
Y市,Y市
Y县,Y县
Y区,Y区
Y镇,Y镇
Y乡,Y乡
Y街道,Y街道
Y村,Y
Z省,Z省
Z市,Z市
Z县,Z县
Z区,Z区
Z镇,Z镇
Z乡,Z乡
Z街道,Z街道
Z村,Z
