A0,A2,A4,A5
35709,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35710,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35240,船舶 检验证书,船舶 法定 检验,交通 运输
35909,建筑 垃圾 工程 渣土,工程 渣土,城市 管理
35911,建筑 垃圾 工程 渣土,工程 渣土,城市 管理
35771,道路,华府,城市 管理
35242,船舶 检验证书,船舶 法定 检验,交通 运输
35241,船舶 检验证书,船舶 法定 检验,交通 运输
35915,行政 文书,专用 机动车辆,行政 审批
35916,行政 文书,专用 机动车辆,行政 审批
35917,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35912,建筑 垃圾 工程 渣土,工程 渣土,城市 管理
35913,建筑 垃圾 工程 渣土,工程 渣土,城市 管理
35914,建筑 垃圾 工程 渣土,工程 渣土,城市 管理
35753,交通 行政,扬子 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35754,交通 行政,销售 股份 石油 分公司 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,口岸
35756,针织 总厂 项目 水土保持 方案 行政,工程 建设 针织 总厂 项目 仙女 富豪 花园路,水务
35750,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35751,交通 行政,集装箱 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35752,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35761,建设 用地 规划 许可证,科技 创业园 项目,自然资源 规划
35762,建设 用地 规划 许可证,智能 环保 设备 项目,自然资源 规划
35245,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
35248,交通 行政,扬子 石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35247,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
35246,交通 行政,新东方 集装箱 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
36707,交通 行政,龙发 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37193,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37891,医疗器械 生产 许可证,创面 病人 护理 防护用品 器械 口腔 材料,药品 监督 管理
37191,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37192,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37194,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37195,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33482,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37890,医疗器械 注册证,试剂 生物素 标记 抗原 单克隆 抗体 小鼠 缓冲液 试剂 吖啶 标记 抗原 单克隆 抗体 小鼠 缓冲液 颗粒 链霉亲 包被 微粒 防腐 校准 人源性 肿瘤 抗原 抗原 新生 血清 校准 人源性 肿瘤 抗原 抗原 新生 血清 校准 人源性 肿瘤 抗原 抗原 新生 血清,药品 监督 管理
37889,医疗器械 生产 许可证,急救 设备,药品 监督 管理
37190,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34408,建筑业 资质 核准,建筑 幕墙 工程 专业,城乡 建设
34407,建筑业 资质 核准,电力 工程施工,城乡 建设
37182,准予 行政,劳务 派遣,行政 审批
37183,行政 准予 行政,道路 货物 运输,行政 审批
37186,行政,民办非 机构 变更,人民政府
34312,食品 经营,食品 销售 经营者,市场 监督 管理
34311,农作物 种子 生产 经营 许可证,常规 水稻 小麦,农业 农村
37893,医疗器械 生产 许可证,试剂 生化 分析 设备 分析 设备 试剂 蛋白质 检测 试剂 糖类 检测 试剂 激素 检测 试剂 酶类 检测 试剂 酯类 检测 试剂 药物 药物 代谢物 检测 试剂 抗体 检测 试剂 生理 生化 功能 指标 检测 试剂 维生素 检测 试剂,药品 监督 管理
37892,医疗器械 生产 许可证,致病性 病原体 抗原 抗体 核酸 检测 试剂,药品 监督 管理
37765,行政,建筑物 物料 施工,城市 管理
34102,准予 行政,特种 设备 登记,行政 审批
34097,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37751,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37750,交通 行政,梅兰 化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34096,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33998,商品房 预售,燕语 光年 花园,住房 保障 房产
33492,准予 行政,停水 大道,园林
34095,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34094,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34205,准予 行政,药品 零售,行政 审批
37762,行政,公共场所 卫生,行政 审批
34217,国际 经营 业务,项目 部门 经营,商务
37764,行政,变更 登记,行政 审批
37763,行政,特种 设备 登记,行政 审批
37759,行政,建筑物 物料 施工,行政 审批
37755,行政,特种 设备 登记,行政 审批
37752,交通 行政,石油化工 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37758,320405YX21004922,易制毒 化学品 运输,公安
37757,行政,变更 登记,行政 审批
37181,准予,药品 零售 变更,行政 审批
37908,准予 行政,畜禽 生产 经营,行政 审批
37166,交通 行政,油品 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34417,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37165,交通 行政,华扬 二氧化碳 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37167,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34416,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34415,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37168,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
37169,交通 行政,新东方 国际 货柜 码头 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
34418,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37153,交通 行政,液化气 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37154,交通 行政,油品 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
33374,准予 行政,设置,工业 信息化
37152,交通 行政,液化气 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,港口
37155,交通 行政,保税 港区 港务 危险 货物 港口 审查 港口 港口 港口 危险 货物 管理 行政,交通 运输
34420,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34419,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34425,危险 化学品 经营,换证,行政 审批
34421,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
34414,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
37895,医疗器械 注册证,奥氏体 不锈钢丝 经磨 品种 无菌 针体 直径 规格 无菌 A型 B型 环氧乙烷 无菌 状态,药品 监督 管理
37894,医疗器械 注册证,导尿管 单腔 医用 硅橡胶 材料 双腔 医用 硅橡胶 材料 乳胶 材料 导尿管 型式 单腔 双腔 管径 单腔 导尿管 规格 双腔 导尿管 规格 导尿管 规格 产品 无菌 状态 环氧乙烷,药品 监督 管理
37896,医疗器械 生产 许可证,图像 传输 设备 设备 手术台,药品 监督 管理
34412,建筑业 资质 核准,建筑 幕墙 工程 专业,城乡 建设
34411,建筑业 资质 核准,建筑 装修 装饰 工程 专业,城乡 建设
37178,准予 行政,劳务 派遣,行政 审批
37179,生产 建设 项目 水土保持 方案,生产 建设 项目 水土保持 方案,行政 审批
34410,建筑业 资质 核准,建筑 装修 装饰 工程 专业,城乡 建设
34409,建筑业 资质 核准,电力 工程施工 工程 专业,城乡 建设
37897,医疗器械 生产 许可证,手术器械 普通外科 植入物 手术器械 手术器械 手术器械 手术器械 手术器械 器械 材料 手术器械 器械 内窥镜 辅助 用品 血管 内导 妇产科 手术器械,药品 监督 管理
34413,建筑业 资质 核准,建筑业 资质 证书 变更,城乡 建设
33390,建设 工程 消防 设计 审查 意见书,住房 城乡 建设 市容 容城 大道 局部 地块 项目 地块 幼儿园 装修 建设 工程 消防 设计 审查,城乡 建设
33387,建设 工程 消防 设计 审查 意见书,住房 城乡 建设 局关 幼儿园 综合 教学楼 车库 门卫 建设 工程 消防 设计 审查,城乡 建设
33389,公共场所 卫生 变更,变更 法定代表 人为 徐明杰,卫生 健康 委员会
37903,危险性 体育项目 经营,国际会议中心 经营 危险性 体育项目 游泳,旅游
33481,建筑业 资质 核准,防腐 保温 工程 专业 建筑 装修 装饰 工程 专业,城乡 建设
