A0,A1,A2,A3,A4,A5,A6
35709,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210014,"张家港保税港区港务有限公司:你(单位)于2021-07-21 09:47:58向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 20:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
35710,张家港保税港区港务有限公司,交通行政许可申请许可决定书,SZ320500202107210115,"张家港保税港区港务有限公司:你(单位)于2021-07-21 16:23:59向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-23 00:00:00至2021-07-23 23:00:00时间内作业。",苏州市交通运输局,2021/7/21
35240,东台市东联航运有限公司,船舶检验证书,202121695365,船舶法定检验,盐城市交通运输局,2021/7/21
35909,融建国际建设有限公司,城市建筑垃圾和工程渣土处置许可,泰城渣许〔2021〕064号,工程渣土,泰州市城市管理局,2021/7/21
35911,江苏通业建设工程有限公司,城市建筑垃圾和工程渣土处置许可,泰城渣许〔2021〕063号,工程渣土,泰州市城市管理局,2021/7/21
35771,睢宁县自来水公司,关于睢宁县自来水公司道路挖掘的批复,睢城管许字〔2021〕0352号,中山北路水岸华府楼下,睢宁县城市管理局,2021/7/21
35242,建湖县恒通航运公司,船舶检验证书,202121694422,船舶法定检验,盐城市交通运输局,2021/7/21
35241,盐城市恒铭物流有限公司,船舶检验证书,202121695357,船舶法定检验,盐城市交通运输局,2021/7/21
35915,宿迁祥恒包装有限公司,无行政许可决定文书,无行政许可决定文书号,场（厂）内专用机动车辆,宿迁经济技术开发区行政审批局,2021/7/21
35916,宿迁宏盛玻璃有限公司,无行政许可决定文书,无行政许可决定文书号,场（厂）内专用机动车辆,宿迁经济技术开发区行政审批局,2021/7/21
35917,南京港龙潭集装箱有限公司,交通行政许可申请许可决定书,NJ320100202107210017,"南京港龙潭集装箱有限公司:你(单位)于2021-07-21 09:06:48向本机关提出关于危险货物港口作业申请。经审查，根据《中华人民共和国港口,法》第三十五条、《江苏省港口条例》 第四十三条第三款、《港口危险货物安全管理规定》第四十五条的规定，本机关作出如下行政许可决定：同意你于2021-07-22 19:00:00至2021-07-23 19:00:00时间内作业。",南京市交通运输局,2021/7/21
35912,泰州市市政工程有限公司,城市建筑垃圾和工程渣土处置许可,泰城渣许〔2021〕066号,工程渣土,泰州市城市管理局,2021/7/21
35913,泰州市市政工程有限公司,城市建筑垃圾和工程渣土处置许可,泰城渣许〔2021〕065号,工程渣土,泰州市城市管理局,2021/7/21
35914,江苏科建建筑加固有限公司,城市建筑垃圾和工程渣土处置许可,泰城渣许〔2021〕061号,工程渣土,泰州市城市管理局,2021/7/21
